"income","Recency","Age","Children","Education","MaritalStatus","Customer_Days","complain","NumPurchases","NumWebVisitsMonth","MntCategories","MntTotal","MntRegularProds","MntGoldProds","AcceptedCmp","AcceptedCmpOverall"
7500.0,59,44,"{""Teen"": 0, ""Kid"": 0}",basic,married,2752,0,"{""Deals"": 1, ""Web"": 2, ""Catalog"": 0, ""Store"": 3}",8,"{""Fish"": 11, ""Fruits"": 16, ""Meat"": 11, ""Sweet"": 1, ""Wines"": 6}",45,29,16,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
63033.0,82,61,"{""Teen"": 0, ""Kid"": 0}",graduation,divorced,2385,0,"{""Deals"": 1, ""Web"": 3, ""Catalog"": 4, ""Store"": 8}",2,"{""Fish"": 225, ""Fruits"": 61, ""Meat"": 480, ""Sweet"": 112, ""Wines"": 194}",1072,1042,30,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
59354.0,53,68,"{""Teen"": 1, ""Kid"": 1}",master,divorced,2385,0,"{""Deals"": 3, ""Web"": 6, ""Catalog"": 1, ""Store"": 5}",6,"{""Fish"": 3, ""Fruits"": 2, ""Meat"": 53, ""Sweet"": 5, ""Wines"": 233}",296,282,14,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
17323.0,38,33,"{""Teen"": 0, ""Kid"": 0}",graduation,married,2786,0,"{""Deals"": 1, ""Web"": 1, ""Catalog"": 0, ""Store"": 3}",8,"{""Fish"": 6, ""Fruits"": 14, ""Meat"": 17, ""Sweet"": 1, ""Wines"": 3}",41,36,5,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
82800.0,23,74,"{""Teen"": 0, ""Kid"": 0}",PhD,single,2741,0,"{""Deals"": 1, ""Web"": 7, ""Catalog"": 6, ""Store"": 12}",3,"{""Fish"": 59, ""Fruits"": 22, ""Meat"": 115, ""Sweet"": 68, ""Wines"": 1006}",1270,1225,45,"{""1st"": 1, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 1, ""last"": 1}",2
41850.0,51,40,"{""Teen"": 1, ""Kid"": 1}",graduation,married,2711,0,"{""Deals"": 3, ""Web"": 3, ""Catalog"": 0, ""Store"": 3}",8,"{""Fish"": 2, ""Fruits"": 5, ""Meat"": 19, ""Sweet"": 13, ""Wines"": 53}",92,88,4,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
37760.0,20,74,"{""Teen"": 0, ""Kid"": 0}",graduation,together,2826,0,"{""Deals"": 2, ""Web"": 4, ""Catalog"": 1, ""Store"": 6}",7,"{""Fish"": 150, ""Fruits"": 5, ""Meat"": 38, ""Sweet"": 12, ""Wines"": 84}",289,261,28,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
76995.0,91,71,"{""Teen"": 1, ""Kid"": 0}",master,married,2617,0,"{""Deals"": 2, ""Web"": 11, ""Catalog"": 4, ""Store"": 9}",5,"{""Fish"": 0, ""Fruits"": 80, ""Meat"": 498, ""Sweet"": 16, ""Wines"": 1012}",1606,1430,176,"{""1st"": 1, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",1
33812.0,86,35,"{""Teen"": 0, ""Kid"": 1}","2n_cycle",single,2762,0,"{""Deals"": 2, ""Web"": 2, ""Catalog"": 1, ""Store"": 3}",6,"{""Fish"": 30, ""Fruits"": 17, ""Meat"": 19, ""Sweet"": 24, ""Wines"": 4}",94,55,39,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
37040.0,41,38,"{""Teen"": 0, ""Kid"": 0}",graduation,married,2849,0,"{""Deals"": 1, ""Web"": 4, ""Catalog"": 2, ""Store"": 5}",8,"{""Fish"": 69, ""Fruits"": 2, ""Meat"": 73, ""Sweet"": 38, ""Wines"": 86}",268,220,48,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
2447.0,42,41,"{""Teen"": 0, ""Kid"": 1}",graduation,married,2698,0,"{""Deals"": 15, ""Web"": 0, ""Catalog"": 28, ""Store"": 0}",1,"{""Fish"": 1, ""Fruits"": 1, ""Meat"": 1725, ""Sweet"": 1, ""Wines"": 1}",1729,1728,1,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
58607.0,63,71,"{""Teen"": 1, ""Kid"": 0}",PhD,married,2712,0,"{""Deals"": 3, ""Web"": 2, ""Catalog"": 3, ""Store"": 9}",8,"{""Fish"": 0, ""Fruits"": 0, ""Meat"": 86, ""Sweet"": 0, ""Wines"": 867}",953,934,19,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 1, ""5th"": 0, ""last"": 0}",1
65324.0,0,66,"{""Teen"": 1, ""Kid"": 0}",PhD,married,2328,0,"{""Deals"": 3, ""Web"": 6, ""Catalog"": 2, ""Store"": 9}",4,"{""Fish"": 21, ""Fruits"": 0, ""Meat"": 102, ""Sweet"": 32, ""Wines"": 384}",539,534,5,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
40689.0,69,69,"{""Teen"": 1, ""Kid"": 0}",graduation,together,2627,0,"{""Deals"": 7, ""Web"": 7, ""Catalog"": 1, ""Store"": 5}",8,"{""Fish"": 39, ""Fruits"": 3, ""Meat"": 27, ""Sweet"": 6, ""Wines"": 270}",345,246,99,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
18589.0,89,51,"{""Teen"": 0, ""Kid"": 0}",graduation,single,2702,0,"{""Deals"": 2, ""Web"": 2, ""Catalog"": 1, ""Store"": 3}",7,"{""Fish"": 15, ""Fruits"": 4, ""Meat"": 25, ""Sweet"": 12, ""Wines"": 6}",62,49,13,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
53359.0,4,44,"{""Teen"": 1, ""Kid"": 1}",graduation,married,2557,0,"{""Deals"": 4, ""Web"": 5, ""Catalog"": 1, ""Store"": 4}",7,"{""Fish"": 3, ""Fruits"": 4, ""Meat"": 30, ""Sweet"": 6, ""Wines"": 173}",216,175,41,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
38360.0,26,31,"{""Teen"": 0, ""Kid"": 1}",graduation,married,2553,0,"{""Deals"": 2, ""Web"": 2, ""Catalog"": 1, ""Store"": 4}",3,"{""Fish"": 20, ""Fruits"": 2, ""Meat"": 42, ""Sweet"": 21, ""Wines"": 36}",121,111,10,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
84618.0,96,55,"{""Teen"": 0, ""Kid"": 0}",PhD,married,2378,0,"{""Deals"": 1, ""Web"": 6, ""Catalog"": 9, ""Store"": 10}",2,"{""Fish"": 21, ""Fruits"": 100, ""Meat"": 801, ""Sweet"": 66, ""Wines"": 684}",1672,1672,0,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 1, ""last"": 0}",1
10979.0,34,31,"{""Teen"": 0, ""Kid"": 0}",master,divorced,2197,0,"{""Deals"": 2, ""Web"": 3, ""Catalog"": 0, ""Store"": 3}",5,"{""Fish"": 2, ""Fruits"": 4, ""Meat"": 10, ""Sweet"": 2, ""Wines"": 8}",26,22,4,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
38620.0,56,57,"{""Teen"": 0, ""Kid"": 0}",master,together,2573,0,"{""Deals"": 1, ""Web"": 2, ""Catalog"": 5, ""Store"": 3}",3,"{""Fish"": 34, ""Fruits"": 17, ""Meat"": 44, ""Sweet"": 22, ""Wines"": 112}",229,140,89,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
40548.0,31,50,"{""Teen"": 1, ""Kid"": 0}",graduation,together,2786,0,"{""Deals"": 2, ""Web"": 2, ""Catalog"": 1, ""Store"": 4}",5,"{""Fish"": 2, ""Fruits"": 0, ""Meat"": 5, ""Sweet"": 0, ""Wines"": 110}",117,114,3,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 1, ""5th"": 0, ""last"": 0}",1
46610.0,8,68,"{""Teen"": 2, ""Kid"": 0}",PhD,divorced,2767,0,"{""Deals"": 6, ""Web"": 4, ""Catalog"": 1, ""Store"": 6}",6,"{""Fish"": 33, ""Fruits"": 12, ""Meat"": 96, ""Sweet"": 22, ""Wines"": 96}",259,216,43,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 1}",0
68657.0,4,74,"{""Teen"": 0, ""Kid"": 0}",master,married,2653,0,"{""Deals"": 1, ""Web"": 3, ""Catalog"": 5, ""Store"": 9}",7,"{""Fish"": 119, ""Fruits"": 34, ""Meat"": 471, ""Sweet"": 68, ""Wines"": 482}",1174,1152,22,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
49389.0,55,69,"{""Teen"": 1, ""Kid"": 1}",master,single,2463,0,"{""Deals"": 1, ""Web"": 2, ""Catalog"": 0, ""Store"": 3}",7,"{""Fish"": 2, ""Fruits"": 0, ""Meat"": 19, ""Sweet"": 1, ""Wines"": 40}",62,59,3,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
67353.0,37,50,"{""Teen"": 1, ""Kid"": 0}",PhD,married,2339,0,"{""Deals"": 5, ""Web"": 5, ""Catalog"": 6, ""Store"": 12}",2,"{""Fish"": 0, ""Fruits"": 17, ""Meat"": 151, ""Sweet"": 8, ""Wines"": 702}",878,843,35,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
23718.0,76,44,"{""Teen"": 0, ""Kid"": 1}","2n_cycle",married,2459,0,"{""Deals"": 3, ""Web"": 3, ""Catalog"": 1, ""Store"": 2}",7,"{""Fish"": 15, ""Fruits"": 3, ""Meat"": 14, ""Sweet"": 7, ""Wines"": 6}",45,9,36,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
42429.0,99,47,"{""Teen"": 1, ""Kid"": 0}",graduation,widow,2297,0,"{""Deals"": 2, ""Web"": 1, ""Catalog"": 1, ""Store"": 3}",5,"{""Fish"": 2, ""Fruits"": 0, ""Meat"": 6, ""Sweet"": 0, ""Wines"": 55}",63,59,4,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
48948.0,53,77,"{""Teen"": 0, ""Kid"": 0}",PhD,divorced,2672,0,"{""Deals"": 2, ""Web"": 7, ""Catalog"": 10, ""Store"": 5}",6,"{""Fish"": 160, ""Fruits"": 8, ""Meat"": 206, ""Sweet"": 49, ""Wines"": 437}",860,818,42,"{""1st"": 0, ""2nd"": 0, ""3rd"": 1, ""4th"": 0, ""5th"": 0, ""last"": 1}",1
80011.0,3,40,"{""Teen"": 1, ""Kid"": 0}",graduation,married,2585,0,"{""Deals"": 2, ""Web"": 8, ""Catalog"": 6, ""Store"": 5}",4,"{""Fish"": 82, ""Fruits"": 76, ""Meat"": 536, ""Sweet"": 178, ""Wines"": 421}",1293,1191,102,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
20559.0,88,35,"{""Teen"": 0, ""Kid"": 1}",master,married,2633,0,"{""Deals"": 2, ""Web"": 2, ""Catalog"": 0, ""Store"": 3}",8,"{""Fish"": 3, ""Fruits"": 1, ""Meat"": 29, ""Sweet"": 0, ""Wines"": 13}",46,39,7,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
21994.0,4,63,"{""Teen"": 1, ""Kid"": 0}",graduation,together,2711,0,"{""Deals"": 1, ""Web"": 0, ""Catalog"": 0, ""Store"": 3}",5,"{""Fish"": 3, ""Fruits"": 0, ""Meat"": 6, ""Sweet"": 1, ""Wines"": 9}",19,16,3,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
7500.0,19,45,"{""Teen"": 0, ""Kid"": 1}",master,married,2429,0,"{""Deals"": 3, ""Web"": 2, ""Catalog"": 0, ""Store"": 3}",5,"{""Fish"": 3, ""Fruits"": 1, ""Meat"": 10, ""Sweet"": 2, ""Wines"": 3}",19,7,12,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
79941.0,72,44,"{""Teen"": 0, ""Kid"": 0}",graduation,single,2160,0,"{""Deals"": 1, ""Web"": 2, ""Catalog"": 4, ""Store"": 9}",1,"{""Fish"": 227, ""Fruits"": 164, ""Meat"": 266, ""Sweet"": 30, ""Wines"": 123}",810,636,174,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
7500.0,24,24,"{""Teen"": 0, ""Kid"": 0}","2n_cycle",married,2756,0,"{""Deals"": 3, ""Web"": 3, ""Catalog"": 1, ""Store"": 3}",9,"{""Fish"": 15, ""Fruits"": 18, ""Meat"": 14, ""Sweet"": 22, ""Wines"": 3}",72,22,50,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 1}",0
41728.0,92,52,"{""Teen"": 0, ""Kid"": 1}",graduation,together,2560,0,"{""Deals"": 1, ""Web"": 2, ""Catalog"": 0, ""Store"": 2}",10,"{""Fish"": 3, ""Fruits"": 6, ""Meat"": 15, ""Sweet"": 5, ""Wines"": 13}",42,29,13,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
72550.0,39,66,"{""Teen"": 1, ""Kid"": 1}",PhD,married,2757,0,"{""Deals"": 9, ""Web"": 5, ""Catalog"": 2, ""Store"": 12}",8,"{""Fish"": 50, ""Fruits"": 50, ""Meat"": 317, ""Sweet"": 38, ""Wines"": 826}",1281,1243,38,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
65486.0,29,63,"{""Teen"": 1, ""Kid"": 0}",graduation,widow,2207,0,"{""Deals"": 1, ""Web"": 4, ""Catalog"": 2, ""Store"": 10}",2,"{""Fish"": 37, ""Fruits"": 19, ""Meat"": 125, ""Sweet"": 67, ""Wines"": 245}",493,479,14,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
79143.0,2,56,"{""Teen"": 0, ""Kid"": 0}",master,married,2846,0,"{""Deals"": 1, ""Web"": 6, ""Catalog"": 9, ""Store"": 13}",3,"{""Fish"": 27, ""Fruits"": 37, ""Meat"": 780, ""Sweet"": 167, ""Wines"": 650}",1661,1629,32,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
35790.0,54,43,"{""Teen"": 0, ""Kid"": 1}",graduation,single,2702,0,"{""Deals"": 2, ""Web"": 2, ""Catalog"": 0, ""Store"": 3}",7,"{""Fish"": 30, ""Fruits"": 6, ""Meat"": 20, ""Sweet"": 1, ""Wines"": 12}",69,66,3,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
82582.0,54,43,"{""Teen"": 0, ""Kid"": 0}",graduation,divorced,2181,0,"{""Deals"": 1, ""Web"": 4, ""Catalog"": 9, ""Store"": 7}",1,"{""Fish"": 156, ""Fruits"": 120, ""Meat"": 550, ""Sweet"": 40, ""Wines"": 510}",1376,1135,241,"{""1st"": 1, ""2nd"": 0, ""3rd"": 1, ""4th"": 0, ""5th"": 0, ""last"": 1}",2
66373.0,57,42,"{""Teen"": 1, ""Kid"": 1}",graduation,married,2541,0,"{""Deals"": 7, ""Web"": 4, ""Catalog"": 2, ""Store"": 10}",3,"{""Fish"": 12, ""Fruits"": 9, ""Meat"": 124, ""Sweet"": 24, ""Wines"": 328}",497,388,109,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
82384.0,55,65,"{""Teen"": 0, ""Kid"": 0}",master,together,2746,0,"{""Deals"": 1, ""Web"": 3, ""Catalog"": 10, ""Store"": 13}",1,"{""Fish"": 180, ""Fruits"": 51, ""Meat"": 432, ""Sweet"": 120, ""Wines"": 984}",1767,1577,190,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 1, ""last"": 1}",1
70287.0,30,54,"{""Teen"": 0, ""Kid"": 0}",graduation,divorced,2612,0,"{""Deals"": 1, ""Web"": 5, ""Catalog"": 5, ""Store"": 10}",3,"{""Fish"": 121, ""Fruits"": 35, ""Meat"": 482, ""Sweet"": 120, ""Wines"": 295}",1053,1013,40,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 1}",0
27938.0,31,32,"{""Teen"": 0, ""Kid"": 1}",graduation,single,2221,0,"{""Deals"": 1, ""Web"": 1, ""Catalog"": 0, ""Store"": 4}",3,"{""Fish"": 2, ""Fruits"": 0, ""Meat"": 8, ""Sweet"": 1, ""Wines"": 13}",24,19,5,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
55954.0,63,52,"{""Teen"": 1, ""Kid"": 0}",PhD,married,2277,0,"{""Deals"": 3, ""Web"": 8, ""Catalog"": 2, ""Store"": 6}",7,"{""Fish"": 0, ""Fruits"": 0, ""Meat"": 28, ""Sweet"": 0, ""Wines"": 447}",475,432,43,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
75777.0,12,38,"{""Teen"": 0, ""Kid"": 0}",master,single,2519,0,"{""Deals"": 1, ""Web"": 3, ""Catalog"": 6, ""Store"": 11}",1,"{""Fish"": 69, ""Fruits"": 26, ""Meat"": 538, ""Sweet"": 13, ""Wines"": 712}",1358,1278,80,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 1, ""5th"": 1, ""last"": 1}",2
66653.0,18,45,"{""Teen"": 1, ""Kid"": 1}",graduation,together,2819,0,"{""Deals"": 4, ""Web"": 4, ""Catalog"": 2, ""Store"": 12}",3,"{""Fish"": 16, ""Fruits"": 18, ""Meat"": 102, ""Sweet"": 18, ""Wines"": 452}",606,600,6,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
61823.0,26,68,"{""Teen"": 1, ""Kid"": 0}",graduation,single,2655,0,"{""Deals"": 4, ""Web"": 8, ""Catalog"": 2, ""Store"": 10}",7,"{""Fish"": 37, ""Fruits"": 7, ""Meat"": 134, ""Sweet"": 14, ""Wines"": 523}",715,546,169,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
67680.0,8,69,"{""Teen"": 1, ""Kid"": 0}",PhD,widow,2542,0,"{""Deals"": 1, ""Web"": 7, ""Catalog"": 3, ""Store"": 8}",5,"{""Fish"": 0, ""Fruits"": 0, ""Meat"": 48, ""Sweet"": 6, ""Wines"": 546}",600,594,6,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
70666.0,29,72,"{""Teen"": 0, ""Kid"": 0}",graduation,together,2364,0,"{""Deals"": 1, ""Web"": 7, ""Catalog"": 4, ""Store"": 4}",4,"{""Fish"": 119, ""Fruits"": 40, ""Meat"": 367, ""Sweet"": 122, ""Wines"": 398}",1046,1016,30,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
25721.0,75,49,"{""Teen"": 0, ""Kid"": 1}",graduation,married,2563,0,"{""Deals"": 1, ""Web"": 1, ""Catalog"": 1, ""Store"": 2}",7,"{""Fish"": 3, ""Fruits"": 3, ""Meat"": 6, ""Sweet"": 6, ""Wines"": 1}",19,4,15,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 1}",0
32474.0,0,53,"{""Teen"": 1, ""Kid"": 1}",graduation,together,2208,0,"{""Deals"": 1, ""Web"": 1, ""Catalog"": 0, ""Store"": 2}",7,"{""Fish"": 0, ""Fruits"": 0, ""Meat"": 1, ""Sweet"": 0, ""Wines"": 10}",11,11,0,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
88194.0,19,41,"{""Teen"": 1, ""Kid"": 0}","2n_cycle",single,2261,0,"{""Deals"": 1, ""Web"": 11, ""Catalog"": 10, ""Store"": 10}",5,"{""Fish"": 201, ""Fruits"": 14, ""Meat"": 309, ""Sweet"": 24, ""Wines"": 688}",1236,1198,38,"{""1st"": 1, ""2nd"": 0, ""3rd"": 1, ""4th"": 0, ""5th"": 0, ""last"": 1}",2
69096.0,4,62,"{""Teen"": 1, ""Kid"": 0}",graduation,together,2434,0,"{""Deals"": 1, ""Web"": 5, ""Catalog"": 2, ""Store"": 10}",4,"{""Fish"": 7, ""Fruits"": 49, ""Meat"": 159, ""Sweet"": 82, ""Wines"": 247}",544,435,109,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
74854.0,90,50,"{""Teen"": 2, ""Kid"": 1}",graduation,together,2606,0,"{""Deals"": 7, ""Web"": 2, ""Catalog"": 5, ""Store"": 5}",5,"{""Fish"": 58, ""Fruits"": 59, ""Meat"": 487, ""Sweet"": 29, ""Wines"": 856}",1489,1416,73,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
66991.0,1,66,"{""Teen"": 0, ""Kid"": 0}",master,married,2815,0,"{""Deals"": 3, ""Web"": 4, ""Catalog"": 8, ""Store"": 6}",3,"{""Fish"": 189, ""Fruits"": 36, ""Meat"": 460, ""Sweet"": 60, ""Wines"": 496}",1241,1229,12,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
65031.0,29,61,"{""Teen"": 1, ""Kid"": 0}",graduation,married,2628,0,"{""Deals"": 4, ""Web"": 10, ""Catalog"": 3, ""Store"": 13}",7,"{""Fish"": 84, ""Fruits"": 107, ""Meat"": 291, ""Sweet"": 37, ""Wines"": 258}",777,691,86,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
